artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,duration_minutes
craig david,fill me in,257200,FALSE,2000,60,69.94871795,74.47447447,8,-6.981,1,6.336805556,42.10526316,0.00951,7.033997655,84.99486125,132.493,hip hop,4.286666667
christina aguilera,i turn to you,273706,FALSE,1999,61,61.43589744,47.04704705,1,-8.356,1,6.527777778,42.55319149,0,13.01289566,30.62692703,127.177,pop,4.561766667
madonna,american pie,273533,FALSE,2000,58,64.71794872,73.47347347,5,-7.48,0,6.25,38.96976484,0,15.82649472,60.73997945,124.036,pop,4.558883333
red hot chili peppers,otherside,255373,FALSE,1999,78,46.97435897,79.57957958,0,-3.265,1,9.965277778,0.353863382,0.000202,8.862837046,52.72353546,123.229,rock,4.256216667
sammie,i like it,251040,FALSE,2000,55,84.71794872,65.66566567,9,-8.529,1,10.71180556,1.131019037,0.000113,3.188745604,87.56423433,129.963,hip hop,4.184
craig david,7 days,235133,FALSE,2000,70,67.58974359,81.28128128,4,-7.499,0,8.454861111,25.75587906,0,11.14888628,91.26413155,83.014,hip hop,3.918883333
santana,maria maria (feat. the product g&b),261973,FALSE,1999,66,79.69230769,60.16016016,2,-5.931,1,21.875,4.546472564,0.00201,4.07971864,69.88694758,97.911,rock,4.366216667
kandi,don't think i'm not,243533,FALSE,2000,55,88.1025641,62.26226226,11,-8.196,1,7.725694444,7.402015677,0,4.618991794,44.50154162,134.007,pop,4.058883333
p!nk,there you go,202800,FALSE,2000,55,84.30769231,84.78478478,10,-6.729,0,15.92013889,9.563269877,0,5.2989449,68.65364851,107.908,pop,3.38
vengaboys,shalala lala,214819,FALSE,2000,58,77.02564103,90.19019019,2,-5.802,1,5.694444444,5.643896976,0.00308,4.630715123,100,124.017,pop,3.580316667
ronan keating,life is a rollercoaster,234826,FALSE,2000,59,67.17948718,79.17917918,0,-8.923,1,5.243055556,11.19820829,0.000124,39.15592028,88.59198356,118.981,pop,3.913766667
madison avenue,don't call me baby,228140,FALSE,1999,56,82.87179487,98.2982983,3,-6.588,0,5.399305556,6.550951848,0.00689,41.03165299,98.76670092,124.999,Dance/Electronic,3.802333333
destiny's child,"jumpin', jumpin'",230200,FALSE,1999,70,79.07692308,68.56856857,1,-4.639,1,9.84375,0.60806271,0.00157,6.295427902,70.19527235,88.997,pop,3.836666667
céline dion,that's the way it is,241373,FALSE,1999,64,65.02564103,88.68868869,9,-5.424,1,7.534722222,17.24524076,0,13.83352872,59.30113052,93.04,pop,4.022883333
3 doors down,kryptonite,233933,FALSE,2000,78,55.8974359,86.58658659,11,-5.708,0,4.965277778,0.74356103,1.10E-05,19.69519343,55.80678314,99.009,pop,3.898883333
carl thomas,i wish,226760,FALSE,2000,52,75.48717949,66.66666667,1,-4.929,1,5.850694444,6.640537514,3.82E-05,12.54396249,23.02158273,89.824,pop,3.779333333
mystikal,shake ya ass,256973,TRUE,2000,57,93.74358974,60.76076076,7,-5.658,1,55.55555556,7.010078387,0,6.037514654,68.44809866,98.054,hip hop,4.282883333
fuel,hemorrhage (in my hands),236866,FALSE,2000,49,32.1025641,83.18318318,1,-3.894,1,7.013888889,0.014221725,0.000341,28.13599062,34.12127441,152.034,rock,3.947766667
donell jones,where i wanna be,253626,FALSE,1999,57,68.1025641,39.63963964,5,-9.131,0,5.173611111,58.23068309,0,31.41852286,46.55704008,102.053,pop,4.2271
savage garden,crash and burn,281466,FALSE,1999,54,59.58974359,60.76076076,4,-8.458,1,4.861111111,21.16461366,1.60E-06,10.33997655,21.89105858,102.03,pop,4.6911
westlife,my love,231760,FALSE,2000,68,50.35897436,59.35935936,0,-5.975,1,4.427083333,10.97424412,0,30.12895662,33.71017472,144.142,pop,3.862666667
all saints,pure shores,268746,FALSE,2000,62,64.71794872,66.46646647,6,-9.197,1,4.201388889,5.576707727,0.00042,8.15943728,41.82939363,100.618,pop,4.4791
destiny's child,"independent women, pt. 1",221133,FALSE,2001,65,74.87179487,60.26026026,6,-3.782,0,35.76388889,40.537514,3.69E-06,19.81242673,95.27235355,97.954,pop,3.68555
*nsync,it's gonna be me,191040,FALSE,2000,60,66.05128205,87.48748749,0,-4.666,0,13.90625,5.139977604,2.24E-06,6.846424385,90.64748201,165.09,pop,3.184
erykah badu,bag lady,348893,FALSE,2000,54,74.25641026,41.64164164,5,-8.964,0,14.60069444,40.87346025,0,11.35990621,59.40390545,151.181,hip hop,5.814883333
marc anthony,you sang to me,347106,FALSE,1999,56,59.28205128,89.48948949,10,-5.42,1,5.138888889,1.153415454,2.66E-06,25.32239156,76.15621788,165.98,pop,5.7851
matchbox twenty,bent,256133,FALSE,2000,54,53.12820513,83.08308308,6,-6.814,0,6.701388889,4.524076148,3.85E-06,43.96248535,54.16238438,95.468,pop,4.268883333
gabrielle,rise,219093,FALSE,2001,60,57.23076923,48.14814815,8,-9.487,1,4.513888889,35.2743561,8.83E-06,10.55099648,64.85097636,144.673,pop,3.65155
